,score
1324,567.1844789458404
1325,628.9477593123318
1326,574.1389103734693
1327,647.4070527444749
1328,642.8130612496127
1329,672.3200167944849
1330,609.0079934260237
1331,662.951423375059
1332,609.8799974977305
1333,588.5816154077993
1334,650.7523070222322
1335,613.6687353724624
1336,613.7408220734341
1337,652.9480387148757
1338,537.0473584369267
1339,640.2245845697329
1340,593.4266138003078
1341,621.8904587265163
1342,574.8034442662531
1343,660.0368398349792
1344,621.9051164048251
1345,566.2227888832527
1346,622.1967494897347
1347,603.5423952470142
1348,522.4515049993544
1349,635.6570367748811
1350,624.4744499085148
1351,652.2816138939588
1352,616.434110701832
1353,635.7061180535369
1354,598.1177865204066
1355,659.1556240634745
1356,669.6171540391856
1357,631.1519567317567
1358,577.9330437657921
1359,633.3462998858197
1360,595.5081903242212
1361,618.6144437638502
1362,671.8612825045703
1363,603.2358230348129
1364,580.8953642613975
1365,666.0843259973242
1366,625.8792391908611
1367,620.8293538260922
1368,597.0153281996047
1369,595.2233424163132
1370,633.9260604054284
1371,594.6931199084036
1372,651.5103203563713
1373,626.5482570105406
1374,630.1819604625508
